Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,18907,0,2600,2649.184886957558,141.84399996884167,4614.618299994618,10551.127994922515,31.55089625425293,0.0,2600,2800,2900,2900,3100,3300,3500,3600,4100,4500,4600
POST,/cart,6982,0,3100,3165.8588983248233,369.84930001199245,5706.466300180182,17996.47694070467,11.651153416575552,0.0,3100,3400,3500,3600,3900,4200,4400,4600,5400,5700,5700
POST,/cart/checkout,4025,0,1600,1617.3666134923233,241.40170007012784,3416.1867001093924,6804.505590062112,6.716684689446662,0.0,1600,1700,1800,1800,2000,2200,2300,2500,3000,3400,3400
GET,/product/0PUK6V6EV0,2773,0,2100,2078.1677958923783,282.2934999130666,3614.596299827099,7910.125495852867,4.627420284182756,0.0,2100,2200,2300,2300,2500,2600,2800,3000,3600,3600,3600
GET,/product/1YMWWN1N4O,2821,0,2100,2075.647876602893,56.014500092715025,4509.7932000644505,7923.200638071606,4.707519877994791,0.0,2100,2200,2300,2300,2500,2600,2800,3100,3900,4500,4500
GET,/product/2ZYFJ3GM2N,2593,0,2000,2067.298213649858,449.23829985782504,3809.633299941197,7926.143463170073,4.327046807387626,0.0,2000,2200,2200,2300,2500,2600,2800,3000,3500,3800,3800
GET,/product/66VCHSJNUP,2661,0,2100,2072.163593006866,129.32540010660887,3713.481399929151,7894.563697857948,4.440521231954675,0.0,2100,2200,2300,2300,2500,2600,2800,3000,3600,3700,3700
GET,/product/L9ECAV7KIM,2820,0,2000,2068.7949611326508,257.6069999486208,3807.658099802211,7892.85,4.70585113645704,0.0,2000,2200,2200,2300,2500,2600,2900,3100,3600,3800,3800
GET,/product/OLJCESPC7Z,2666,0,2000,2067.848846287343,269.7254999075085,3825.3113999962807,7928.39984996249,4.448864939643429,0.0,2000,2200,2200,2300,2500,2600,2800,3100,3800,3800,3800
,Aggregated,46248,0,2400,2433.4381263320556,56.014500092715025,5706.466300180182,10417.11459955025,77.17595863789546,0.0,2400,2600,2800,2900,3200,3500,3900,4100,4800,5500,5700
