Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780184417,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780184418,20,,Aggregated,0.000000,0.000000,290,290,290,290,370,370,370,370,370,370,370,6,0,250,254.92088333703578,102.86769992671907,371.347300009802,9659.0
1780184419,40,,Aggregated,0.000000,0.000000,360,390,400,430,580,600,600,600,600,600,600,35,0,360,362.29825144234513,102.86769992671907,601.554200053215,9888.314285714287
1780184420,60,,Aggregated,0.000000,0.000000,480,580,590,590,690,780,800,810,810,810,810,75,0,480,476.3323960080743,102.86769992671907,807.0647001732141,10799.213333333333
1780184421,100,,Aggregated,7.500000,0.000000,590,680,720,780,900,960,970,1000,1000,1000,1000,122,0,580,584.1120114859164,102.86769992671907,1022.922599921003,10600.245901639344
1780184422,120,,Aggregated,16.333333,0.000000,690,790,890,970,1100,1200,1300,1400,1400,1400,1400,182,0,690,706.0637890187267,102.86769992671907,1400.469500105828,10554.637362637362
1780184423,140,,Aggregated,22.500000,0.000000,780,910,1000,1100,1200,1300,1500,1700,1800,1800,1800,228,0,780,791.6558750133079,102.86769992671907,1782.3443000670522,10642.697368421053
1780184424,160,,Aggregated,28.400000,0.000000,900,1100,1300,1300,1500,1800,1900,2000,2100,2100,2100,294,0,900,948.578204086912,102.86769992671907,2126.756399869919,10609.857142857143
1780184425,160,,Aggregated,34.333333,0.000000,1000,1300,1400,1500,1800,2000,2100,2200,2500,2500,2500,347,0,1000,1078.1333256527641,102.86769992671907,2484.833500115201,10486.835734870318
1780184426,160,,Aggregated,34.428571,0.000000,1200,1500,1700,1800,2000,2100,2300,2300,2500,2500,2500,416,0,1200,1214.1586185115068,102.86769992671907,2484.833500115201,10523.384615384615
1780184427,160,,Aggregated,38.250000,0.000000,1300,1600,1800,2000,2100,2200,2400,2600,2700,2700,2700,483,0,1300,1315.9683643903884,102.86769992671907,2669.509500032291,10558.403726708075
1780184428,160,,Aggregated,40.555556,0.000000,1500,1800,2000,2000,2300,2400,2600,2700,3000,3000,3000,558,0,1500,1414.3729050193936,102.86769992671907,3030.4894999135286,10557.720430107527
1780184429,160,,Aggregated,43.200000,0.000000,1600,1800,2000,2100,2300,2400,2700,2700,3000,3000,3000,633,0,1600,1486.2700538697989,102.86769992671907,3030.4894999135286,10471.605055292259
1780184430,160,,Aggregated,49.200000,0.000000,1600,1900,2100,2100,2300,2500,2700,2900,3200,3200,3200,724,0,1600,1549.843588672213,102.86769992671907,3198.821499943733,10443.506906077348
1780184431,160,,Aggregated,56.100000,0.000000,1700,1900,2100,2200,2400,2500,2700,2900,3200,3200,3200,784,0,1700,1585.8035899208128,102.86769992671907,3198.821499943733,10465.122448979591
1780184432,160,,Aggregated,60.200000,0.000000,1700,2000,2100,2200,2400,2500,2700,2900,3200,3200,3200,863,0,1700,1617.452804634546,102.86769992671907,3198.821499943733,10443.58400926999
1780184433,160,,Aggregated,64.600000,0.000000,1700,2000,2100,2200,2400,2600,2800,2900,3200,3200,3200,940,0,1700,1650.7180104245174,102.86769992671907,3198.821499943733,10469.565957446808
1780184434,160,,Aggregated,67.000000,0.000000,1800,2000,2100,2200,2400,2600,2800,2900,3100,3200,3200,1022,0,1800,1671.400559783381,102.86769992671907,3198.821499943733,10466.369863013699
1780184435,160,,Aggregated,68.600000,0.000000,1800,2000,2100,2200,2400,2600,2800,2900,3200,3500,3500,1067,0,1800,1688.68974395421,102.86769992671907,3494.7435001377016,10416.448922211808
